Open,High,Low,Close,Volume,Symbol,MA50,MA200,ATR,RSI,Price_Momentum,Volume_Change,MACD,Bollinger_High,Bollinger_Low,Stoch_%K,Stoch_%D,Keltner_High,Keltner_Low,Keltner_Middle,Rolling_Mean,Rolling_Std,Z-Score,Williams_%R,Symbol_Encoded,Date,Day_Sin,Day_Cos,Month_Sin,Month_Cos,Close_Diff,Label,Predicted_Label,Entry_Price,Stop_Loss,Take_Profit
18.52,18.69,18.38,18.5854,14760.0,CMT,17.963588,17.712250500000003,0.2512797659058433,71.04144311078326,3.4245965498052375,2.215686274509804,0.0733460639996478,18.46468464053225,17.54610535946775,90.490909090909,82.12696969696971,18.231185,17.768365,17.999775,18.005395,0.2356106142615301,2.461709977786436,-9.50909090909102,6.0,2024-08-23 13:00:00-04:00,-0.9987165071710528,-0.0506491688387135,-0.8660254037844384,-0.5000000000000004,0.1753,0,-1,18.5854,19.087959531811688,17.83156070228247
18.3,18.3,18.3,18.3,100.0,CMT,17.56932,17.662618499999997,0.1641992674075794,70.60602194180908,2.693602693602696,-0.8763906056860321,0.0199437884554464,18.213131001565056,17.63535899843495,100.0,93.0739940310795,18.053275,17.806985,17.93013,17.924245000000003,0.1481953919130923,2.5355376786638266,-0.0,6.0,2024-09-16 11:00:00-04:00,-0.101168321987432,-0.9948693233918952,-1.0,-1.8369701987210294e-16,0.2200000000000024,0,-1,18.3,18.628398534815158,17.80740219777726
35.93,36.49,35.91,36.34,92791.0,WSC,34.498000000000005,38.23625,0.4528056640552741,74.09568833223283,4.335343095033033,0.5578892582519055,0.1930188315687417,35.93995779417169,33.541042205828305,85.3556485355651,73.95235232875648,35.0705,34.3995,34.735,34.7405,0.6153088655299842,2.599507482510118,-14.644351464434903,36.0,2024-08-15 11:00:00-04:00,0.1011683219874327,-0.994869323391895,-0.8660254037844384,-0.5000000000000004,0.4100000000000037,0,-1,36.34,37.24561132811055,34.98158300783418
37.49,38.06,37.44,37.82,353709.0,WSC,37.197,36.76845,0.4019755704135593,65.93865295051204,2.576620558719834,0.5356352080022924,0.158237780216061,37.53253686235967,36.04046313764034,87.2340425531914,90.9620821524826,37.1875,36.3855,36.7865,36.7865,0.3827088353192744,2.700486387093207,-12.7659574468086,36.0,2024-09-10 15:00:00-04:00,0.8978045395707416,-0.4403941515576344,-1.0,-1.8369701987210294e-16,0.3299999999999983,-1,-1,37.82,38.62395114082712,36.61407328875932
40.6,40.87,40.58,40.65,114623.0,WSC,39.5634,37.8404,0.524774115836917,63.26429443744359,1.7521902377972358,-0.6068927437221776,0.1274116832409406,41.17739054931504,37.92260945068495,90.83333333333336,92.6414768806073,40.10166666666667,39.00866666666666,39.555166666666665,39.55,0.8348337369926004,1.3176276320152491,-9.166666666666623,36.0,2024-09-23 13:00:00-04:00,-0.9987165071710528,-0.0506491688387135,-1.0,-1.8369701987210294e-16,0.0399999999999991,0,-1,40.65,41.69954823167383,39.07567765248925
37.15,37.16,36.88,36.92,22758.0,SSTK,36.6786,39.3841,0.52961573756445,56.28761405491952,2.783964365256125,-0.0821536600120992,0.1800907939649146,37.14851957319204,35.01548042680796,76.82926829268321,84.12140256371902,36.57266666666667,35.63066666666666,36.10166666666667,36.082,0.5471129970850647,1.5316762797899854,-23.170731707316783,28.0,2024-08-15 12:00:00-04:00,0.1011683219874327,-0.994869323391895,-0.8660254037844384,-0.5000000000000004,-0.1799999999999997,0,-1,36.92,37.9792314751289,35.33115278730665
34.55,34.6,34.27,34.27,18734.0,SSTK,35.37,38.829150000000006,0.53352787684125,48.304361518322295,3.691376701966736,0.0720457796852647,0.1916107010973231,35.66353221853041,32.37346778146959,78.68020304568554,79.44024197383409,34.65683333333333,33.471833333333336,34.06433333333333,34.0185,0.8438837223474082,0.2980268410681147,-21.31979695431446,28.0,2024-08-23 14:00:00-04:00,-0.9987165071710528,-0.0506491688387135,-0.8660254037844384,-0.5000000000000004,-0.3099999999999951,0,-1,34.27,35.337055753682506,32.66941636947625
34.77,35.21,34.71,35.1,67126.0,SSTK,33.5896,34.952949999999994,0.484443192022626,71.11270585121551,6.33141472281128,0.3135175328741391,0.2224120648539921,35.02830054344022,32.249699456559775,95.6521739130435,92.54471863167528,34.101,33.123,33.612,33.638999999999996,0.7126961410549044,2.049961990586187,-4.3478260869564975,28.0,2024-09-17 14:00:00-04:00,-0.2993631229733582,-0.9541392564000488,-1.0,-1.8369701987210294e-16,0.3299999999999983,0,-1,35.1,36.06888638404526,33.64667042393212
69.95,70.51,69.81,70.48,448870.0,WDC,66.41,64.1768,0.9414562286333416,72.0481129654648,7.1613197506462045,-0.1219064647575153,0.4293745266629717,70.64268781158313,63.534312188416855,84.60291734197727,76.98541329011336,67.96183333333333,66.22883333333333,67.09533333333334,67.0885,1.8232598769646051,1.8601297833889896,-15.397082658022732,35.0,2024-09-26 14:00:00-04:00,-0.848644257494751,0.5289640103269624,-1.0,-1.8369701987210294e-16,0.5400000000000063,0,-1,70.48,72.36291245726669,67.65563131409998
57.42,57.63,57.41,57.46,96589.0,BYD,55.97559999999999,57.5321,0.4620912271655107,68.0215019291428,2.0603907637655485,1.3526732432103277,0.1207056076829727,57.27674210190246,55.49625789809754,71.10091743119263,65.44342507645253,56.75783333333332,56.048833333333334,56.40333333333333,56.3865,0.4566845623333523,2.350637811173508,-28.89908256880737,1.0,2024-08-15 11:00:00-04:00,0.1011683219874327,-0.994869323391895,-0.8660254037844384,-0.5000000000000004,0.0700000000000002,0,-1,57.46,58.384182454331025,56.07372631850347
