Open,High,Low,Close,Volume,Symbol,MA50,MA200,ATR,RSI,Price_Momentum,Volume_Change,MACD,Bollinger_High,Bollinger_Low,Stoch_%K,Stoch_%D,Keltner_High,Keltner_Low,Keltner_Middle,Rolling_Mean,Rolling_Std,Z-Score,Williams_%R,Symbol_Encoded,Date,Day_Sin,Day_Cos,Month_Sin,Month_Cos,Close_Diff,Label,Predicted_Label,Entry_Price,Stop_Loss,Take_Profit
72.3,72.3,71.72,71.81,10200.0,CCOI,73.4804,69.7832,0.6229074798721786,32.76727824254388,-1.8586852535192009,0.0679509998952989,-0.108438039793178,73.72996708344346,72.17303291655654,3.750000000000133,9.858058608058862,73.54683333333335,72.41883333333334,72.98283333333333,72.9515,0.3993451877119286,-2.8584293366355156,-96.24999999999989,2.0,2024-08-28 12:00:00-04:00,-0.5712682150947924,0.8207634412072763,-0.8660254037844384,-0.5000000000000004,-0.6099999999999994,0,1,71.81,70.56418504025565,73.67872243961654
71.42,71.49,71.01,71.26,12916.0,CCOI,73.3306,69.84615,0.5992416535632545,28.05864528724041,-3.245078071961983,0.3693808312128923,-0.1910986027854732,74.01846182606221,71.5495381739378,8.038585209003218,3.9295284030011217,73.39166666666667,72.24966666666668,72.82066666666667,72.784,0.6332655550076617,-2.4065733371232585,-91.96141479099678,2.0,2024-08-28 14:00:00-04:00,-0.5712682150947924,0.8207634412072763,-0.8660254037844384,-0.5000000000000004,-0.1700000000000017,1,1,71.26,70.0615166928735,73.05772496068977
69.43,69.53,69.13,69.14,17180.0,CCOI,71.73400000000001,70.28025,0.6139914206658171,32.114411999118474,-1.6220830961866828,0.0191007236920157,0.0415214539637446,71.43421068040797,68.64778931959202,17.28971962616843,30.875347498707928,70.69833333333334,69.48633333333333,70.09233333333333,70.041,0.7147019989962041,-1.2606652860429195,-82.71028037383157,2.0,2024-09-03 13:00:00-04:00,0.5712682150947923,0.8207634412072763,-1.0,-1.8369701987210294e-16,-0.3499999999999943,0,1,69.14,67.91201715866836,70.98197426199745
17.47,17.48,17.43,17.48,700.0,CMT,18.037258,17.766825500000003,0.2209919355718179,34.39541482592729,-4.271631982475362,-0.7530864197530864,-0.0951171943377587,18.708744730162323,17.522755269837674,4.5454545454546045,3.679425627272301,18.326703333333334,17.91602333333333,18.12136333333333,18.11575,0.304199878023561,-2.0899087932926705,-95.4545454545454,6.0,2024-08-28 13:00:00-04:00,-0.5712682150947924,0.8207634412072763,-0.8660254037844384,-0.5000000000000004,0.0100000000000015,1,1,17.48,17.038016128856366,18.142975806715455
17.66,17.88,17.11,17.2,3397.0,CMT,17.855511999999997,17.830683,0.194473662338012,31.19785914199329,-4.151574254667044,0.8695652173913044,-0.0430231269979316,18.212336846610217,17.349673153389784,9.090909090909058,14.179413837416368,17.944295000000004,17.634684999999998,17.78949,17.781005,0.2212685685934988,-2.62579092770916,-90.90909090909092,6.0,2024-09-30 10:00:00-04:00,-0.2012985200886611,0.9795299412524944,-1.0,-1.8369701987210294e-16,-0.5,0,1,17.2,16.811052675323975,17.783420987014036
37.24,37.26,36.59,36.65,97937.0,WSC,38.4054,37.52955,0.3905317977404051,26.99119298408027,-4.928664072632941,-0.0393530098382524,-0.1283466853914153,38.92504824019168,36.87795175980832,2.9850746268654342,15.017085677343552,38.28183333333334,37.54683333333333,37.91433333333333,37.9015,0.5250691683757585,-2.3834954999764553,-97.01492537313456,36.0,2024-09-04 11:00:00-04:00,0.72479278722912,0.6889669190756866,-1.0,-1.8369701987210294e-16,-0.6000000000000014,0,1,36.65,35.86893640451919,37.821595393221216
38.12,38.26,37.92,37.93,176799.0,WSC,39.8358,38.52515,0.4664771802543579,29.187181786680455,-3.7553920324790586,2.176410348544736,-0.1469586759089718,40.728606133920245,37.88539386607976,0.5263157894735799,6.147660818713352,39.83866666666667,38.861666666666665,39.35016666666667,39.307,0.7292685592968204,-1.8881932896267204,-99.4736842105264,36.0,2024-09-30 10:00:00-04:00,-0.2012985200886611,0.9795299412524944,-1.0,-1.8369701987210294e-16,-0.2299999999999968,0,1,37.93,36.99704563949128,39.329431540763075
35.12,35.38,34.65,34.72,44247.0,SSTK,36.0994,39.3458,0.4095044991744222,28.9187274159453,-3.0979626011722003,-0.3312728591723846,-0.0942837310832353,36.84610568538239,34.87789431461761,3.6269430051813623,7.380443958790811,36.255,35.542,35.8985,35.862,0.5048355646831272,-2.262122718546599,-96.37305699481864,28.0,2024-08-21 11:00:00-04:00,-0.8978045395707417,-0.4403941515576342,-0.8660254037844384,-0.5000000000000004,-0.4100000000000037,0,1,34.72,33.90099100165116,35.948513497523265
34.65,34.69,33.21,33.59,72701.0,SSTK,35.9482,39.23575,0.5051263684996737,23.081632724217968,-5.8048233314638065,-0.5338394557474175,-0.1544312321657206,36.76941882879274,33.99758117120726,14.339622641509536,13.148772913860968,35.87083333333333,34.97783333333333,35.42433333333334,35.3835,0.7109613580442822,-2.522640618519082,-85.66037735849046,28.0,2024-08-22 09:30:00-04:00,-0.968077118866204,-0.2506525322587213,-0.8660254037844384,-0.5000000000000004,-0.9099999999999966,1,1,33.59,32.579747263000655,35.105379105499026
62.99,63.15,62.64,62.7,339908.0,WDC,64.18979999999999,64.36619999999999,0.6793451958378387,31.788901359431833,-2.0924422236102487,-0.3170314170209688,-0.2041746297586892,65.48346688485383,63.12053311514616,4.489795918367318,16.685821181619392,65.01433333333334,63.64033333333333,64.32733333333334,64.30199999999999,0.6060797237827564,-2.643216621736403,-95.51020408163268,35.0,2024-08-26 11:00:00-04:00,-0.848644257494751,0.5289640103269624,-0.8660254037844384,-0.5000000000000004,-0.3099999999999951,0,1,62.7,61.34130960832432,64.73803558751352
